Altium Designer Pick and Place Locations
D:\Synology Drive\IRNAS-Projects\SmartParks\SmartParks - RangerTracker\04_OUTPUT_FILES\RangerEdge_V0.1_PICK & PLACE\RangerEdge_V0.1_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       13/04/21
Time:       08:19
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"R2","RES0402","58.9710","52.8000","58.9710","52.8000","58.9710","52.3000","TopLayer","90","0R"
"C56","CAP0402","58.9710","43.2000","58.9710","43.2000","58.9710","42.7200","TopLayer","90","15pF"
"J8","COAXIAL-SWF","32.8000","64.9900","32.8000","64.9900","32.8000","63.8300","TopLayer","180","MM8130-2600"
"J7","COAXIAL-SWF","27.5600","64.5100","27.5600","64.5100","28.3802","63.6898","TopLayer","225","MM8130-2600"
"J6","COAXIAL-SWF","41.6600","56.4200","41.6600","56.4200","40.8398","57.2403","TopLayer","45","MM8130-2600"
"J5","COAXIAL-SWF","48.6500","48.7200","48.6500","48.7200","49.8100","48.7200","TopLayer","270","MM8130-2600"
"J3","COAXIAL-SWF","39.4400","54.2300","39.4400","54.2300","40.2602","53.4098","TopLayer","225","MM8130-2600"
"J2","COAXIAL-SWF","33.0186","46.8200","33.0186","46.8200","31.8586","46.8200","TopLayer","90","MM8130-2600"
"CON3","ufl_connector_smd","48.0300","48.7200","48.0300","48.7200","47.2800","48.7200","TopLayer","90","U.FL-R-SMT-1(10)"
"CON2","ufl_connector_smd","33.6351","46.8200","33.6351","46.8200","34.3851","46.8200","TopLayer","270","U.FL-R-SMT-1(10)"
"R47","rlc_402_smd_small","40.8660","46.3199","40.8660","46.3199","40.8660","45.9199","TopLayer","90","0R"
"R46","rlc_402_smd_small","41.7200","46.3300","41.7200","46.3300","41.7200","45.9300","TopLayer","90","0R"
"C7","rlc_402_smd_small","16.3600","60.3900","16.3600","60.3900","16.3600","60.7900","TopLayer","270","47pF/50V/0402"
"C6","rlc_402_smd_small","14.0100","59.6200","14.0100","59.6200","14.0100","60.0200","TopLayer","270","47pF/50V/0402"
"C5","rlc_402_smd_small","13.2200","59.6100","13.2200","59.6100","13.2200","60.0100","TopLayer","270","2.2nF/50V/0402"
"C22","rlc_402_smd_small","22.7500","60.0400","22.7500","60.0400","22.7500","60.4400","TopLayer","270","1pF/50V/0402"
"L20","rlc_402_smd_small","24.9750","61.8400","24.9750","61.8400","24.9750","61.4400","TopLayer","90","3.6nH/0402"
"L15","rlc_402_smd_small","24.7043","59.5026","24.7043","59.5026","24.4215","59.2197","TopLayer","45","3.6nH/0402"
"L13","rlc_402_smd_small","22.3100","63.8100","22.3100","63.8100","22.1100","63.4636","TopLayer","60","9.5nH/0402"
"L12","rlc_402_smd_small","21.9750","60.0400","21.9750","60.0400","21.9750","59.6400","TopLayer","90","33nH/0402"
"L11","rlc_402_smd_small","21.5750","58.8650","21.5750","58.8650","21.9750","58.8650","TopLayer","180","9.5nH/0402"
"L10","rlc_402_smd_small","19.5500","60.3900","19.5500","60.3900","19.5500","59.9900","TopLayer","90","47nH/0402"
"L9","rlc_402_smd_small","19.9500","59.2108","19.9500","59.2108","20.3500","59.2108","TopLayer","180","22nH/0402"
"L8","rlc_402_smd_small","17.1250","62.7400","17.1250","62.7400","17.1250","62.3400","TopLayer","90","6.8nH/0402"
"L7","rlc_402_smd_small","17.9250","60.3900","17.9250","60.3900","17.9250","59.9900","TopLayer","90","2.7nH/0402"
"L6","rlc_402_smd_small","15.5950","62.7400","15.5950","62.7400","15.5950","62.3400","TopLayer","90","8.2nH/0402"
"L5","rlc_402_smd_small","15.5950","60.3900","15.5950","60.3900","15.5950","59.9900","TopLayer","90","3.3nH/0402"
"L4","rlc_402_smd_small","17.5250","59.2150","17.5250","59.2150","17.9250","59.2150","TopLayer","180","47nH/0402"
"L3","rlc_402_smd_small","15.1950","59.2150","15.1950","59.2150","14.7950","59.2150","TopLayer","360","47nH/0402"
"C53","rlc_402_smd_small","24.2000","61.8400","24.2000","61.8400","24.2000","62.2400","TopLayer","270","???F/??V/0402"
"C30","rlc_402_smd_small","25.3750","63.0150","25.3750","63.0150","25.7750","63.0150","TopLayer","180","0.7pF/50V/0402"
"C29","rlc_402_smd_small","24.9750","64.1900","24.9750","64.1900","24.9750","64.5900","TopLayer","270","33pF/50V/0402"
"C28","rlc_402_smd_small","25.3750","60.6650","25.3750","60.6650","25.7750","60.6650","TopLayer","180","1.6pF/50V/0402"
